Status,Sign,Reference,,,,,,,
done,In,https://www.youtube.com/watch?v=8ajV_zRkzIg,,,,,,,
done,Near,https://www.youtube.com/watch?v=ra5DTYtSLCM,,,,,,,
done,On,https://www.youtube.com/watch?v=Z9J8fKAp6os,,,,,,,
done,Out,https://www.youtube.com/watch?v=qDtqkjfOP5w,,,,,,,
done,Together,https://www.youtube.com/watch?v=V7ys13ynzjk,,,,,,,
done,Under,https://www.youtube.com/watch?v=yZ_eTKPrNo8,,,,,,,
done,With,https://www.youtube.com/watch?v=yy1aOanS3HM,,,,,,,
done,Within,https://www.youtube.com/watch?v=ky6uYvj8NHw,,,,,,,
done,From,https://www.youtube.com/watch?v=HitOdwNzDBU,,,,,,,
done,Day: Monday,https://www.youtube.com/watch?v=ZemKQyrsbQg,,,,,,,
done,Day: Tuesday,https://www.youtube.com/watch?v=v9f54Yr_aZc,,,,,,,
done,Day: Wednesday,https://www.youtube.com/watch?v=rBSsNQL8wII,,,,,,,
done,Day: Thursday,https://www.youtube.com/watch?v=3xSAuZdhQEg,,,,,,,
done,Day: Friday,https://www.youtube.com/watch?v=4_6DUhaj--k,,,,,,,
done,Day: Saturday,https://www.youtube.com/watch?v=fZKkhYFf4Ao,,,,,,,
,Day: Sunday,https://www.youtube.com/watch?v=zUutnxjjNvo,,,,,,,
,Fire Extinguisher,https://www.youtube.com/watch?v=5L3Mif7zRuk,,,,,,,
,Emergency,https://www.youtube.com/watch?v=qZ3qAAg3NEE,,,,,,,
,Exit,https://youtu.be/BI6S4msBIns?si=Eoqw0iEEqjmu8QFe&t=4,,,,,,,
,Earthquake,https://www.youtube.com/watch?v=kMx3Wfip_gc,,,,,,,
,Doctor,https://www.youtube.com/watch?v=4ClovtJdBis,,,,,,,
,Danger,https://www.youtube.com/watch?v=Fzw3ODrOFhU,,,,,,,
,Cyclone,https://www.youtube.com/watch?v=XGIcjVAXvJ0,,,,,,,
,CPR,https://www.youtube.com/watch?v=hsECSEf_cXM,,,,,,,
,Ambulance,https://www.youtube.com/watch?v=tN4Yy7tWGc4,,,,,,,
,Accident,https://www.youtube.com/watch?v=VsQCb3cfpsM,,,,,,,
,Fire,https://www.youtube.com/watch?v=hhMnMD64B1Y,,,,,,,
,Flood,https://www.youtube.com/watch?v=0GGAXcdjef4,,,,,,,
,Help,https://www.youtube.com/watch?v=CaWC4P765V8,,,,,,,
,Hospital,https://www.youtube.com/watch?v=ntOr5qYyNdE,,,,,,,
,Injury,https://www.youtube.com/watch?v=wRDrRxO0qWE,,,,,,,
,Pain,https://www.youtube.com/watch?v=349wYxe9-jk,,,,,,,
,Police,https://www.youtube.com/watch?v=xE32XnlvX_Y,,,,,,,
,Safe,https://www.youtube.com/watch?v=dUyogAYmUOI,,,,,,,
,Tsunami,https://www.youtube.com/watch?v=LNu14vZKqm0,,,,,,,
,Things,https://www.youtube.com/watch?v=CT9fU8LMOXI,,,,,,,
,Bag,https://www.youtube.com/watch?v=BRmxPkdGk4I,,,,,,,
,Bike,https://www.youtube.com/watch?v=8263eJIlPwo,,,,,,,
,Book,https://www.youtube.com/watch?v=Rs4Ch909k78,,,,,,,
,Bottle,https://www.youtube.com/watch?v=UkgMbSENno8,,,,,,,
,Whiteboard,https://www.youtube.com/watch?v=2sh6g2eTiHY,,,,,,,
,Table,https://www.youtube.com/watch?v=YqK-wzRHUb0,,,,,,,
